id,centroid_x,centroid_y,area_px,equiv_diameter_px,solidity,eccentricity,teal_fraction,relative_blueness,median_hue,median_saturation,median_value,is_stained,stain_confidence,on_border,possible_doublet,is_debris,ambiguous,source,sam3_detect_score,sam3_stain_score
1,2838.462,25.508,3472,66.488,0.84,0.734,0.0,-10.0,24.0,119.0,146.0,False,-0.01,True,False,False,False,watershed,0.0,0.0
2,2936.858,18.894,4016,71.508,0.915,0.922,0.449,36.0,37.0,75.0,88.0,True,0.274,True,False,False,False,watershed,0.0,0.724
3,2755.481,12.545,882,33.511,0.921,0.846,0.0,-19.0,23.0,113.0,164.0,False,-0.01,True,False,False,False,watershed,0.0,0.0
4,2002.508,18.049,1175,38.679,0.943,0.593,0.526,36.0,40.0,71.0,110.0,True,0.516,True,False,False,False,watershed,0.0,0.0
5,2215.252,29.754,2591,57.437,0.894,0.816,0.497,34.0,39.0,75.5,111.0,False,-0.065,True,False,False,False,watershed,0.0,0.385
6,2127.921,41.189,5234,81.634,0.909,0.35,0.438,31.0,36.0,75.0,110.0,True,0.428,True,False,False,False,watershed,0.0,0.0
7,2747.989,52.277,5334,82.41,0.535,0.948,0.125,-15.0,24.0,115.0,160.0,True,0.173,True,False,True,False,watershed,0.0,0.623
8,3024.488,52.643,3989,71.267,0.825,0.646,0.242,10.0,28.0,92.0,129.0,True,0.274,False,False,False,False,watershed,0.0,0.724
9,2065.996,60.879,3138,63.209,0.856,0.226,0.0,-22.0,22.0,126.0,151.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
10,2602.904,90.461,6283,89.441,0.894,0.426,0.073,1.0,27.0,108.0,129.0,True,0.323,False,False,False,False,watershed,0.0,0.773
11,1703.7,109.725,2277,53.844,0.783,0.759,0.302,24.0,33.0,79.0,119.0,True,0.339,False,False,False,False,watershed,0.0,0.789
12,2245.169,103.298,2664,58.24,0.778,0.728,0.334,27.0,29.0,81.0,110.0,True,0.051,False,False,False,False,watershed,0.0,0.501
13,2181.839,101.719,3945,70.873,0.877,0.53,0.431,32.0,36.0,80.0,98.0,True,0.051,False,False,False,False,watershed,0.0,0.501
14,1775.54,108.859,3825,69.786,0.899,0.199,0.323,30.0,33.0,79.0,99.0,True,0.339,False,False,False,False,watershed,0.0,0.789
15,2022.724,108.257,5732,85.43,0.812,0.874,0.114,-5.0,27.0,107.0,138.0,True,0.104,False,False,False,False,watershed,0.0,0.0
16,2692.877,141.423,4106,72.304,0.72,0.882,0.246,20.0,34.0,84.0,126.0,True,0.297,False,False,False,False,watershed,0.0,0.747
17,1613.333,120.497,5013,79.892,0.859,0.658,0.345,32.0,34.0,72.0,103.5,True,0.296,False,False,False,False,watershed,0.0,0.746
